Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,113820168,1458.0532718053455,2657191,34.03901170978518,347981,2527891,32.38265948893422,62938,0.8062451359313122,7238,
United States of America,Americas,28244591,8533.04,471544,142.46,69613,508584,153.65,14608,4.41,1824,Community transmission
India,South-East Asia,11112241,805.23,106391,7.71,15510,157157,11.39,772,0.06,106,Clusters of cases
Brazil,Americas,10517232,4947.9,378084,177.87,61602,254221,119.6,8244,3.88,1386,Community transmission
Russian Federation,Europe,4257650,2917.51,80320,55.04,11571,86455,59.24,2825,1.94,333,Clusters of cases
The United Kingdom,Europe,4176558,6152.31,61045,89.92,6035,122849,180.96,2269,3.34,144,Community transmission
France,Europe,3690421,5653.78,147126,225.4,19213,85986,131.73,2120,3.25,114,Community transmission
Spain,Europe,3180212,6801.9,18933,40.49,0,68813,147.18,420,0.9,0,Community transmission
Italy,Europe,2925265,4838.2,116019,191.89,17440,97699,161.59,1981,3.28,192,Clusters of cases
Turkey,Europe,2701588,3203.25,63166,74.9,8424,28569,33.87,509,0.6,66,Community transmission
Germany,Europe,2447068,2920.69,56140,67.01,4732,70105,83.67,2202,2.63,60,Community transmission
Colombia,Americas,2248135,4418.25,26117,51.33,3343,59660,117.25,975,1.92,142,Community transmission
Argentina,Americas,2107365,4662.75,46740,103.42,3168,51965,114.98,843,1.87,19,Community transmission
Mexico,Americas,2084128,1616.45,45852,35.56,7246,185257,143.68,5460,4.23,783,Community transmission
Poland,Europe,1711772,4522.92,69114,182.62,4786,43793,115.71,1605,4.24,24,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1631169,1942.03,57157,68.05,8010,60073,71.52,590,0.7,93,Community transmission
South Africa,Africa,1513393,2551.72,9597,16.18,1168,49993,84.29,940,1.58,52,Community transmission
Ukraine,Europe,1352134,3091.74,44472,101.69,4285,26050,59.56,894,2.04,68,Community transmission
Indonesia,South-East Asia,1334634,487.94,55981,20.47,5560,36166,13.22,1677,0.61,185,Community transmission
Peru,Americas,1323863,4015.13,47964,145.47,7500,46299,140.42,1422,4.31,205,Community transmission
Czechia,Europe,1240051,11579.54,82871,773.85,4571,20469,191.14,1139,10.64,130,Community transmission
Netherlands,Europe,1088690,6353.65,32235,188.13,4729,15563,90.83,347,2.03,21,Community transmission
Canada,Americas,864196,2289.74,20895,55.36,2724,21960,58.18,330,0.87,45,Community transmission
Chile,Americas,825625,4318.98,26165,136.87,4207,20572,107.62,530,2.77,96,Community transmission
Portugal,Europe,804562,7890.41,7037,69.01,718,16317,160.02,355,3.48,41,Clusters of cases
Romania,Europe,801994,4168.87,22299,115.91,2830,20350,105.78,503,2.61,63,Community transmission
Belgium,Europe,771511,6656.91,15156,130.77,1,22077,190.49,139,1.2,6,Community transmission
Israel,Europe,764791,8835.86,16629,192.12,0,5669,65.5,91,1.05,0,Community transmission
Iraq,Eastern Mediterranean,695489,1729.1,27552,68.5,3248,13406,33.33,134,0.33,23,Community transmission
Sweden,Europe,657309,6508.48,19363,191.73,0,12826,127,29,0.29,0,Community transmission
Pakistan,Eastern Mediterranean,579973,262.56,8799,3.98,1176,12860,5.82,259,0.12,23,Community transmission
Philippines,Western Pacific,576352,525.96,15183,13.86,2105,12318,11.24,230,0.21,29,Community transmission
Switzerland,Europe,552290,6381.45,4485,51.82,0,9219,106.52,23,0.27,0,Community transmission
Bangladesh,South-East Asia,546216,331.66,2865,1.74,385,8408,5.11,59,0.04,8,Community transmission
Morocco,Eastern Mediterranean,483654,1310.34,2499,6.77,244,8623,23.36,69,0.19,8,Clusters of cases
Serbia,Europe,459259,6594.98,22619,324.81,2809,4443,63.8,106,1.52,14,Community transmission
Austria,Europe,456112,5064.31,14370,159.55,2345,8414,93.42,156,1.73,20,Community transmission
Hungary,Europe,432925,4481.46,27279,282.38,4326,15058,155.87,711,7.36,84,Community transmission
Japan,Western Pacific,432773,342.18,7176,5.67,1033,7887,6.24,413,0.33,27,Clusters of cases
United Arab Emirates,Eastern Mediterranean,391524,3958.63,21099,213.33,2930,1221,12.35,96,0.97,8,Community transmission
Jordan,Eastern Mediterranean,391090,3833.04,27362,268.17,4594,4701,46.07,147,1.44,26,Community transmission
Saudi Arabia,Eastern Mediterranean,377383,1084,2377,6.83,322,6494,18.65,33,0.09,6,Sporadic cases
Lebanon,Eastern Mediterranean,375033,5494.63,19977,292.68,2258,4692,68.74,352,5.16,40,Community transmission
Panama,Americas,340445,7890.23,4408,102.16,664,5831,135.14,104,2.41,11,Community transmission
Slovakia,Europe,308083,5642.92,15291,280.07,0,7189,131.68,612,11.21,0,Clusters of cases
Malaysia,Western Pacific,300752,929.22,17183,53.09,2437,1130,3.49,74,0.23,9,Clusters of cases
Belarus,Europe,287306,3040.49,8994,95.18,1347,1976,20.91,64,0.68,10,Community transmission
Ecuador,Americas,286155,1621.91,11482,65.08,3556,15811,89.62,275,1.56,98,Community transmission
Nepal,South-East Asia,274143,940.88,712,2.44,78,2774,9.52,713,2.45,1,Clusters of cases
Georgia,Europe,270918,6791.34,2416,60.56,160,3520,88.24,73,1.83,10,Community transmission
Kazakhstan,Europe,262725,1399.21,4925,26.23,0,3389,18.05,78,0.42,0,Clusters of cases
Bolivia (Plurinational State of),Americas,248547,2129.24,6776,58.05,656,11628,99.61,211,1.81,19,Community transmission
Bulgaria,Europe,247038,3555.3,10372,149.27,332,10191,146.67,337,4.85,24,Clusters of cases
Croatia,Europe,243064,5920.78,3047,74.22,91,5537,134.88,88,2.14,11,Community transmission
Dominican Republic,Americas,239617,2208.88,4155,38.3,608,3100,28.58,62,0.57,7,Community transmission
Azerbaijan,Europe,234537,2313.18,1408,13.89,270,3220,31.76,22,0.22,2,Clusters of cases
Tunisia,Eastern Mediterranean,233277,1973.81,4915,41.59,662,8001,67.7,208,1.76,27,Community transmission
Ireland,Europe,219592,4447.18,4535,91.84,612,4319,87.47,183,3.71,6,Community transmission
Denmark,Europe,211195,3646.2,3618,62.46,463,2361,40.76,23,0.4,3,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,208349,4084.14,11910,233.46,1911,2259,44.28,79,1.55,23,Community transmission
Costa Rica,Americas,204341,4011.31,2114,41.5,0,2800,54.97,29,0.57,0,Community transmission
Lithuania,Europe,199398,7324.64,3643,133.82,253,3253,119.5,71,2.61,9,Community transmission
Greece,Europe,191100,1833.44,11298,108.39,1269,6504,62.4,207,1.99,36,Community transmission
Kuwait,Eastern Mediterranean,190852,4469,6762,158.34,962,1083,25.36,39,0.91,5,Community transmission
Slovenia,Europe,190081,9143.18,5408,260.13,451,4111,197.75,24,1.15,1,Clusters of cases
Republic of Moldova,Europe,185453,4597.29,8701,215.69,597,3949,97.89,169,4.19,25,Community transmission
Egypt,Eastern Mediterranean,182424,178.26,4273,4.18,595,10688,10.44,335,0.33,49,Clusters of cases
Guatemala,Americas,174542,974.25,3372,18.82,207,6393,35.68,111,0.62,19,Community transmission
Armenia,Europe,172216,5811.74,1710,57.71,158,3195,107.82,28,0.94,3,Community transmission
Honduras,Americas,169754,1713.89,5259,53.1,843,4141,41.81,149,1.5,24,Community transmission
Qatar,Eastern Mediterranean,163664,5680.7,3238,112.39,467,258,8.96,2,0.07,1,Community transmission
Ethiopia,Africa,159072,138.37,6266,5.45,1019,2365,2.06,86,0.07,11,Community transmission
Paraguay,Americas,158537,2222.73,7806,109.44,934,3167,44.4,122,1.71,15,Community transmission
Nigeria,Africa,155657,75.51,3583,1.74,240,1907,0.93,68,0.03,2,Community transmission
Myanmar,South-East Asia,141896,260.79,146,0.27,6,3199,5.88,3,0.01,0,Clusters of cases
Oman,Eastern Mediterranean,141496,2770.83,2134,41.79,908,1570,30.74,18,0.35,8,Community transmission
Venezuela (Bolivarian Republic of),Americas,138739,487.9,3136,11.03,444,1338,4.71,26,0.09,0,Community transmission
Libya,Eastern Mediterranean,133338,1940.51,3541,51.53,880,2179,31.71,65,0.95,5,Community transmission
Bosnia and Herzegovina,Europe,132138,4027.59,3820,116.43,448,5096,155.33,89,2.71,8,Community transmission
Bahrain,Eastern Mediterranean,122395,7193.04,4586,269.52,617,449,26.39,26,1.53,5,Clusters of cases
Algeria,Africa,113092,257.9,1175,2.68,132,2983,6.8,22,0.05,4,Community transmission
Albania,Europe,107167,3723.92,6921,240.5,952,1796,62.41,130,4.52,21,Clusters of cases
Kenya,Africa,105973,197.08,1772,3.3,325,1856,3.45,33,0.06,2,Community transmission
North Macedonia,Europe,102787,4933.67,3502,168.09,305,3137,150.57,74,3.55,11,Community transmission
China,Western Pacific,101920,6.93,220,0.01,42,4844,0.33,2,0,1,Clusters of cases
Puerto Rico,Americas,100297,3505.84,1213,42.4,253,2036,71.17,57,1.99,4,Community transmission
Republic of Korea,Western Pacific,90029,175.6,2705,5.28,355,1605,3.13,43,0.08,2,Clusters of cases
Kyrgyzstan,Europe,86251,1322.02,322,4.94,22,1466,22.47,8,0.12,2,Clusters of cases
Latvia,Europe,86186,4569.3,4667,247.43,376,1618,85.78,76,4.03,4,Community transmission
Ghana,Africa,84023,270.41,3770,12.13,1437,607,1.95,30,0.1,13,Community transmission
